Time (s),MCAv_mean,MCAv_dia,MCAv_raw,MCAv_sys,FP_raw,HCU_pressure,Systolic,Mean_arterial,Diastolic,HR,MCA_PI
1.04,65.0784,47.5938,48.6938,105,107.1094,65.0784,142,102.0062,92.0062,66,0.8821
1.05,65.0784,47.5938,48.2469,105,116.0844,65.0784,142,102.0062,92.0062,66,0.8821
1.06,65.0784,47.5938,48.4969,105,125.7406,65.0784,142,102.0062,92.0062,66,0.8821
1.07,65.0784,47.5938,50.3344,105,132.9281,65.0784,142,102.0062,92.0062,66,0.8821
1.08,65.0784,47.5938,54.1812,105,138.7875,65.0784,142,102.0062,92.0062,66,0.8821
1.09,65.0784,47.5938,60.5406,105,142.0563,65.0784,142,102.0062,92.0062,66,0.8821
1.1,65.0784,47.5938,69.2375,105,142.3125,65.0784,142,102.0062,92.0062,66,0.8821
1.11,65.0784,47.5938,77.2625,105,140.3469,65.0784,142,102.0062,92.0062,66,0.8821
1.12,65.0784,47.5938,82.1188,105,136.3469,65.0784,142,102.0062,92.0062,66,0.8821
1.13,65.0784,47.5938,86.2969,105,131.3063,65.0784,142,102.0062,92.0062,66,0.8821
1.14,65.0784,47.5938,88.7156,105,126.1313,65.0784,142,102.0062,92.0062,66,0.8821
1.15,65.0784,47.5938,90.9063,105,120.2781,65.0784,142,102.0062,92.0062,66,0.8821
1.16,65.1547,48.0844,91.5125,103.675,115.2781,65.1547,142,102.0062,92.0062,66,0.8535
1.17,65.8409,52.5,88.5812,91.75,111.0625,65.8409,142,102.0062,92.0062,66,0.5961
1.18,65.8409,52.5,83.4406,91.75,107.0688,65.8409,142,102.0062,92.0062,66,0.5961
1.19,65.8409,52.5,80.0313,91.75,103.2531,65.8409,142,102.0062,92.0062,66,0.5961
1.2,65.8409,52.5,78.6719,91.75,100.2906,65.8409,142,102.0062,92.0062,66,0.5961
1.21,65.8409,52.5,76.7406,91.75,97.2406,65.8409,142,102.0062,92.0062,66,0.5961
1.22,65.8409,52.5,72.8344,91.75,94.8531,65.8409,142,102.0062,92.0062,66,0.5961
1.23,65.8409,52.5,68.2687,91.75,91.9875,65.8409,142,102.0062,92.0062,66,0.5961
1.24,65.8409,52.5,65.4094,91.75,90.0313,65.8409,142,102.0062,92.0062,66.0031,0.5961
1.25,65.8409,52.5,64.1937,91.75,87.9906,65.8409,142,102.0062,92.0062,66.0062,0.5961
1.26,65.8409,52.5,62.6594,91.75,86.7875,65.8409,142,102.0062,92.0062,66.0062,0.5961
1.27,65.8409,52.5,60.75,91.75,85.9406,65.8409,142,102.0062,92.0062,66.0062,0.5961
1.28,65.8409,52.5,59.4344,91.75,86.9625,65.8409,142,102.0062,92.0062,66.0062,0.5961
1.29,65.8409,52.5,58.1563,91.75,89.1406,65.8409,142,102.0062,92.0062,66.0062,0.5961
1.3,65.8409,52.5,56.2406,91.75,92.9625,65.8409,142,102.0062,92.0062,66.0062,0.5961
1.31,65.8409,52.5,54.4594,91.75,96.925,65.8409,142,102.0062,92.0062,66.0062,0.5961
1.32,65.8409,52.5,52.8813,91.75,101.9219,65.8409,142,102.0062,92.0062,66.0062,0.5961
1.33,65.8409,52.5,52.9188,91.75,106.9813,65.8409,142,102.0062,92.0062,66.0062,0.5961
1.34,65.8409,52.5,54.2719,91.75,110.95,65.8409,142,102.0062,92.0062,66.0062,0.5961
1.35,65.8409,52.5,56.0531,91.75,114.9813,65.8409,142,102.0062,92.0062,66.0062,0.5961
